,Title,Image url,Description,Page url,Item number,Page number
10,Flogging of Jesus,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-108.jpg,"Flogging of Jesus
L 82.2/108
DESCRIPTION
Figures of Christ represented in scenes from the Passion (events leading to the death of Jesus) are an
essential part of Christian iconography. In Indo-Portuguese churches, statues generally wooden; representing the various stages of Passos or Passion of Christ became quite popular after the end of 16th century CE. These are flexible statues, used during the narration of the ‘Passion of Christ’ in the season of
Lent (the period in the Catholic liturgical calendar marking 40 days between Ash Wednesday to Easter
Sunday)
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa",https://csmvs.in/collections/flogging-of-jesus/,11,1
11,Crucified Christ,https://csmvs.in/wp-content/uploads/2024/04/78.11.jpg,"Crucified Christ
78.11
DESCRIPTION
Crucifixes became, from 17th century CE onwards, an essential presence on Christian altars, especially in
India. Baroque influence can be seen in the treatment of the loin-cloths, which became highly elaborate,
suspended by a thick cord which barely brings the two ends of the material together
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/crucified-christ/,12,1
12,Fall of Jesus while carrying the cross,https://csmvs.in/wp-content/uploads/2024/04/78.13.jpg,"Fall of Jesus while carrying the cross
78.13
DESCRIPTION
Indo-Portuguese crosses with stepped bases from the 17th and 18th centuries, called Calvary Cross, would
have cavities filled with small ivory images of Christ portraying in sequence various scenes from the
Passion such as this small image of Jesus after one of his falls while carrying the cross towards his death on
Mount Calvary
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa",https://csmvs.in/collections/fall-of-jesus-while-carrying-the-cross/,13,1
13,Child Jesus on globe,https://csmvs.in/wp-content/uploads/2024/04/91.13.jpg,"Child Jesus on globe
91.13
DESCRIPTION
Images of Child Jesus in Indo-Portuguese art seem to be an amalgamation of styles with the figure being
represented in the Western style but with decoration of Indian inspiration. The Child Jesus standing on a
sphere is one of the most common images found on the altars of Goa. They were very much in vogue in the 17th century CE, and were made in large numbers to be venerated in both churches and cloisters. Copied from a European model; the Indian features are evident in the short, well defined locks and his chubby face
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Probably Goa
DIMENSION
--",https://csmvs.in/collections/child-jesus-on-globe/,14,1
14,Child Christ,https://csmvs.in/wp-content/uploads/2024/04/74.2.jpg,"Child Christ
74.2
DESCRIPTION
Images of Child Jesus in Indo-Portuguese art seem to be an amalgamation of styles with the figure being represented in the Western style but with decoration of Indian inspiration. The Child Jesus standing on a sphere is one of the most common images found on the altars of Goa. They were very much in vogue in the 17th century CE, and were made in large numbers to be venerated in both churches and cloisters. Copied from a European model; the Indian features are evident in the short, well defined locks and his chubby face.
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/child-christ/,15,1
15,Infant Jesus,https://csmvs.in/wp-content/uploads/2024/04/96.10-5.jpg,"Infant Jesus
96.10/5
DESCRIPTION
At the time of introduction of Christianity in India, people were already familiar with the worship of the
child-god Balakrishna. The worship of Krishna involved deep personal emotional attachment. It was easy to transfer these motherly emotions to Baby Christ. Small ivory statues of Infant Jesus were created based on the iconography of Balkrishna. Such images of reclining Jesus usually formed a part of bride’s dowry and were associated with seeking blessings of God for progeny.
Adornments have been provided by painting the bracelets and anklets on the wrists and ankles of the
Baby Christ, ornaments which are an almost indispensable part of the images of Baby Krishna.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Bone
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/infant-jesus/,16,1
16,Angels,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-103.jpg,"Angels
L/82.2.103
DESCRIPTION
Depiction of angels inside churches symbolise their exaltation of God in heaven. In the form of decorative
elements in gilded wood, in olden days they were used to embellish altars or as candle or incense holders.
Difference can be seen between the two set of angels. The smaller set wearing a tunic and having round, full faces suggest Indian craftsmen’s hand as compared to the larger set which denote more European features
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Architectural fragment Figurine Sculpture
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/angels-3/,17,1
17,Angels,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-104.jpg,"Angels
L 82.2/104
DESCRIPTION
Depiction of angels inside churches symbolise their exaltation of God in heaven. In the form of decorative
elements in gilded wood, in olden days they were used to embellish altars or as candle or incense holders.
Difference can be seen between the two set of angels.
The smaller set wearing a tunic and having round, full faces suggest Indian craftsmen’s hand as compared to the larger set which denote more European features
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Architectural fragment Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/angels-4/,18,1
18,Angels,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-102.jpg,"Angels
L/82.2.102
DESCRIPTION
Depiction of angels inside churches symbolise their exaltation of God in heaven. In the form of decorative
elements in gilded wood, in olden days they were used to embellish altars or as candle or incense holders.
Difference can be seen between the two set of angels. The smaller set wearing a tunic and having round, full faces suggest Indian craftsmen’s hand as compared to the larger set which denote more European features
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Architectural fragment Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/angels-2/,19,1
19,Angels,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-101.jpg,"Angels
L 82.2/101
DESCRIPTION
Depiction of angels inside churches symbolise their exaltation of God in heaven. In the form of decorative
elements in gilded wood, in olden days they were used to embellish altars or as candle or incense holders.
Difference can be seen between the two set of angels. The smaller set wearing a tunic and having round, full faces suggest Indian craftsmen’s hand as compared to the larger set which denote more European features
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Architectural fragment Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/angels/,20,1
20,Buddha,https://csmvs.in/wp-content/uploads/2024/04/26.4817-14.jpg,"Buddha
26.4817
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
The Buddha
बुद्ध
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-14/,21,1
21,A couple,https://csmvs.in/wp-content/uploads/2024/04/26.4804-13.jpg,"A couple
26.4804
DESCRIPTION
Copy of Ajanta fresco from Cave (not identified)
A couple
दंपति
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-13/,22,1
22,A palace scene,https://csmvs.in/wp-content/uploads/2024/04/26.4813-11.jpg,"A palace scene
26.4813
DESCRIPTION
Copy of Ajanta fresco from Cave No. II
A palace scene
राजमहल का दृश्य
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-11/,23,1
23,Temptation of the Buddha,https://csmvs.in/wp-content/uploads/2024/04/26.4802-10.jpg,"Temptation of the Buddha
26.4802
DESCRIPTION
Copy of Ajanta fresco from Cave (not identified)
Probably a figure from the scene ‘Temptation of the Buddha’
संभवतः ‘बुद्ध का मोहभंग ’ नामक दृश्य का एक भाग
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-10/,24,1
24,princess with a mirror,https://csmvs.in/wp-content/uploads/2024/04/26.4794-9.jpg,"princess with a mirror
26.4794
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
The princess with a mirror
दर्पण निहारती हुई श्याम वर्ण राजकुमारी
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-9/,25,1
25,Celestial musicians,https://csmvs.in/wp-content/uploads/2024/04/26.4824-8.jpg,"Celestial musicians
26.4824
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
A group of celestial musicians
दिव्य संगीतकारों का समूह
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-8/,26,1
26,Mother and child,https://csmvs.in/wp-content/uploads/2024/04/26.4797-7.jpg,"Mother and child
26.4797
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
Details of the panel - Mother and child worshipping the Buddha
माँ और बालक बुद्ध की आराधना करते हुए इस दृश्य का एक भाग
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-7/,27,1
27,Gandharvas and Apsaras,https://csmvs.in/wp-content/uploads/2024/04/26.4793-6.jpg,"Gandharvas and Apsaras
26.4793
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
A group of celestial musicians (Gandharvas and Apsaras)
दिव्य संगीतकारों का समूह (गंधर्व और अप्सरा)
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-6/,28,1
28,Vessantara Jataka,https://csmvs.in/wp-content/uploads/2024/04/26.4785-5.jpg,"Vessantara Jataka
26.4785
DESCRIPTION
Copy of Ajanta fresco from Cave No. XVII
Brahmin Jujaka asking Vessantara, the prince of the Sibi royal house for the gift of his children as slaves.
ब्राह्मण जूजक सिबी राजवंश के युवराज वेसांतर से सेवक के रूप में उनके बच्चों की माँग करते हुए
The painting displayed here shows a detail of an episode described in the Vishvantara or Vesantara Jataka represented in the cave XVII of Ajanta. The Jataka narrating the story of king Vesantara who was known for his philanthropy is very popularly depicted in the art of the Indian subcontinent as well as South East Asia. According to the story the Buddha was born as king Vesantara in his previous life. Due to circumstances, he has to leave his palace along with his wife and two children and live a very modest life in the jungle where he continued his act of philanthropy. Once Jujaka, a cruel old Brahmin hearing about king Vesantara’s reputation goes to him to ask for his two sons as slaves so that his young wife can have some rest. Vesantara agreed to give away his children to the Brahmin.
The painting shows the Brahmin Jujaka and the king Vesantara along with his two young children. The appearance of Jujaka is authentically captured by Sayed Ahmad showing Jujaka’s entire ugly feature delineated by the Ajanta artist: the broken front teeth, goatee beard, the bald forehead and spiky hair at the back of his skull, the parrot-like nose and small, uncanny eyes.
A gift from Sir Akbar Hydari.
The Ajanta World heritage site is comprised of numerous Buddhist rock-cut caves, embellished with thousands of square feet of mural paintings and sculptures created between the 2nd century BCE and 650 CE. The present painting is a copy of one of the mural paintings at Ajanta. It was made in the early 1920s by Sayed Ahmed. These copies were commissioned by the department of archaeology of the Hyderabad state and are considered to be the most faithful copies of the original paintings. Since most of the original paintings at Ajanta have decayed due to weather and other elements these copies became more important from the point of view of research.
The copies were made under the supervision of Ghulam Yazdani, an Indian archaeologist. He persuaded Nizam – the ruler of the erstwhile Hyderabad State – to allow him to document the cave paintings of Ajanta. Accordingly, the Department of Archaeology of the Hyderabad State was founded in 1915. Ghulam Yazdani became its first director. Shortly after that Yazdani gave the task of copying of murals to the artist Syed Ahmad. He was trained by a British artists Christiana Herringham and Lady Herringham to copy the frescoes with greater fidelity to the originals. Syed Ahmad achieved a high degree of success in this task of making copies as regards tone is distinctly superior to those made by previous artists like Major R. Gill (1844 – 1866), John Griffiths, and Lady Herringham. During his tenure as a curator of Ajanta caves, some 3,000 paintings were created.
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-5/,29,2
29,A beautiful damsel,https://csmvs.in/wp-content/uploads/2024/04/26.4807.jpg,"A beautiful damsel
26.4807
DESCRIPTION
Copy of Ajanta fresco from Cave No. I
A beautiful damsel
लावण्यवती
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-4/,30,2
30,A court dancer with musician,https://csmvs.in/wp-content/uploads/2024/04/26.4792-3.jpg,"A court dancer with musician
26.4792
DESCRIPTION
Copy of Ajanta fresco from Cave No. I
A court dancer with musician
दरबारी नर्तक और संगीतकार
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-3/,31,2
31,"King, queen and attendants",https://csmvs.in/wp-content/uploads/2024/04/26.4789-2.jpg,"King, queen and attendants
26.4789
DESCRIPTION
Copy of Ajanta fresco from Cave No. I
King, queen and attendants
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes-2/,32,2
32,Two Damsels,https://csmvs.in/wp-content/uploads/2024/04/26.4809-1.jpg,"Two Damsels
26.4809
DESCRIPTION
Copy of Ajanta fresco from Cave No. I
Detail of two damsels from the panel representing the offering of lotus flower to the Bodhisattva.
‘बोधिसत्व को कमल अर्पण करते हुए’ इस दृश्य का एक भाग
COLLECTION
Indian Paintings
ARTIST
Sayed Ahmed
OBJECT TYPE
Painting
MATERIAL
Water based pigments on paper
SCHOOLS/CULTURE/PERIOD
Bombay School
TECHNIQUE
--
DATE
--
LOCATION
Ajanta Caves, Chhatrapati Sambhaji Nagar, Maharashtra",https://csmvs.in/collections/copy-of-ajanta-frescoes/,33,2
33,My Father,https://csmvs.in/wp-content/uploads/2024/03/35.8.jpg,"My Father
35.8
DESCRIPTION
This portrait depicts the father of the artist, Jagannath Murlidhar Ahiwasi (1901-1973), Murlidhar Ahiwasi who was a well-known ‘Haveli Kirtankar’. Jagannath's father wanted him to become a Kirtankar like himself but the son chose to be a painter against his father’s wish and became one of the illustrious artists of Bombay Revivalism.
Fine line drawing and soft colour scheme is a salient feature of this portrait.
COLLECTION
Indian Paintings
ARTIST
Jagannath Murlidhar Ahiwasi (1901-1973)
OBJECT TYPE
Painting
MATERIAL
Watercolour on paper
SCHOOLS/CULTURE/PERIOD
Bombay School
TECHNIQUE
Gouache
DATE
20th Century CE
LOCATION
Mumbai
DIMENSION
25.5 x 19.5 cms.",https://csmvs.in/collections/my-father/,34,2
34,Portrait of J. M. Cursetjee,https://csmvs.in/wp-content/uploads/2024/03/72.10.jpg,"Portrait of J. M. Cursetjee
72.10
DESCRIPTION
This portrait showing the sitter in three quarter profile is the classic example of academic portraiture.
The artist Shantaram Purushottam Agaskar (1873-1925) was known for his portrait in academic style. His portraits were characterised by his application of colour in layers and his creation of diverse texture using brushstrokes in the manner of the Impressionist and Romantics. He joined Sir J. J. School of Art as a student in 1890 and later was also appointed to the faculty of J. J. around 1897 and worked as an assistant to the great artist of the Bombay School, M. V. Dhurandhar.
Gift of Mrs. J. M. Cursetjee
COLLECTION
Indian Paintings
ARTIST
Shantaram Purushottam Agaskar (1873-1925)
OBJECT TYPE
Painting
MATERIAL
oil on canvas
SCHOOLS/CULTURE/PERIOD
Bombay School
TECHNIQUE
--
DATE
20th century CE
LOCATION
Mumbai
DIMENSION
--",https://csmvs.in/collections/portrait-of-j-m-cursetjee/,35,2
35,Bazar Gate Street,https://csmvs.in/wp-content/uploads/2024/03/67.37.jpg,"Bazar Gate Street
67.37
DESCRIPTION
This landscape is from the initial phase of the artist Sayed Haider Raza’s (1922-2016) career when he mostly painted landscapes in an unconventional way by applying paints freely with vibrant energetic strokes. Painters never used black colour watercolour; but Raza used it directly. His paintings of this period reflect the acute impact of Walter Langhammer.
COLLECTION
Indian Paintings
ARTIST
Sayed Haider Raza (1922-2016)
OBJECT TYPE
Painting
MATERIAL
Watercolour on paper
SCHOOLS/CULTURE/PERIOD
Bombay School
TECHNIQUE
Gouache
DATE
20th Century CE
LOCATION
Mumbai
DIMENSION
48.6 x 61.5 cms.",https://csmvs.in/collections/bazar-gate-street/,36,2
36,Parsi Priest Praying,https://csmvs.in/wp-content/uploads/2024/03/74.18-copy.jpg,"Parsi Priest Praying
74.18
DESCRIPTION
This picture shows a Dastoor (Parsi priest) wearing traditional Parsi dress consisting of jama pichori and mojri, is offering oblations to the sacred fire in the afarganyu (fire vase) with a ladle. The figure of Dastoor in white dress stands out against the dark background. The serious expression on his face has been brilliantly captured by the artist. The still-life on the table is painted very meticulously. Pestonji Bomanji's paintings always reflect the Parsi way of life.
Endowed with great skill and craftsmanship, Pestonji had a rare vision of developing technique which could maintain true painterly values in his works executed in oil. His style reflects the influence of the 17th-century Dutch master painters Rembrandt and Vermeer. He is considered to be one of the pioneers of the Bombay School of painting.
Gift of Lady Cowasjee Jehangir, Bombay
COLLECTION
Indian Paintings
ARTIST
Pestonji Bomanji (1851-1938)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on board
SCHOOLS/CULTURE/PERIOD
Bombay School
TECHNIQUE
Oil Painting
DATE
20th century CE
LOCATION
Mumbai
DIMENSION
75 x 49.5 cms.",https://csmvs.in/collections/parsi-priest-praying/,37,2
